Area,Perimeter,Eccentricity,Orientation,MajorAxisLength,MinorAxisLength,CentroidX,CentroidY,MeanR,MeanG,MeanB,StdR,StdG,StdB,RelacionAspecto,Circularidad,Compacidad,Etiqueta,BoundingBox_1,BoundingBox_2,BoundingBox_3,BoundingBox_4,Clase,NombreImagen
10655,437.998,0.579440715680351,1.74738594473925,138.432905646734,112.824810245425,178.852463632098,449.312247771,149.867198498358,124.80844673862,92.0643829188175,25.2683385367545,24.5186015280838,22.4826275325125,1.22697220004717,0.697941565474177,18.0049036137025,1,116.5,394.5,134,109,garbanzo,G_11.png
13811,460.402,0.600797602069296,-87.636433982978,149.817779914482,119.764509557821,220.176308739411,1171.79197740931,140.831728332489,112.894794004779,77.8280356237781,24.1897293850568,21.8453489610532,20.362871368848,1.25093636226308,0.818767482387184,15.347911201506,2,158.5,1095.5,122,152,garbanzo,G_11.png
11829,406.38,0.389032644417582,67.4351929660074,132.934134607909,122.462111136406,386.935751120128,1284.70690675459,138.8498605123,115.942514160115,81.9938287260123,25.040041238465,21.9759316449362,18.6699764530001,1.08551235459137,0.900105144378185,13.9610029926452,3,325.5,1216.5,123,129,garbanzo,G_11.png
12747,655.903,0.668724538827104,7.42372394877914,175.839318858817,130.738335843597,414.24719541853,414.961951831804,154.767788499255,134.40495802934,102.494312387228,24.1954627664139,24.1330124815931,23.0593731125807,1.34497137143596,0.372339074764623,33.7498035152585,4,326.5,348.5,176,125,garbanzo,G_11.png
11210,418.3,0.644955303461679,-23.0305910393014,149.698110750759,114.402334089231,400.528902765388,734.797056199822,154.514629794826,134.727118644068,101.515521855486,26.46363270403,24.920586253708,22.573846261417,1.30852322151048,0.805081315307392,15.608821587868,5,329.5,674.5,151,121,garbanzo,G_11.png
14197,435.652,0.542634242854027,-32.5973379066794,149.91468303806,125.923700453711,493.237514967951,1171.07353666268,133.601253786011,112.509403395083,79.3888145382827,24.0474425679837,21.9274624407467,18.2755083561044,1.19051999343974,0.939998200216522,13.3685049731633,6,419.5,1105.5,150,135,garbanzo,G_11.png
13389,447.236,0.662091998171571,51.2632563413686,160.386700052447,120.197412683007,625.542908357607,743.17992381806,148.945552319068,130.641347374711,96.5677795205019,24.8607374664711,24.7496121931594,23.3939733851335,1.33436066943829,0.841171396682908,14.9391321006797,7,557.5,674.5,139,139,garbanzo,G_11.png
12498,414.039,0.62027437861886,-61.6033168692814,146.682687212638,115.055687173929,691.285805728917,475.41718674988,142.958953432549,124.577292366779,92.4418306929109,25.9440555429022,25.0193392999747,23.8023727720788,1.27488428269433,0.916152734840248,13.7164581149784,8,628.5,410.5,121,135,garbanzo,G_11.png
12885,424.758,0.562391924788118,12.1300929246139,144.016606569572,119.083126952248,944.570353123787,456.31144741948,144.875358944509,126.181451299961,93.567559177338,22.732635745017,20.7241940817975,19.5845678142586,1.20937877813137,0.897451840283431,14.0022785071013,9,869.5,396.5,146,121,garbanzo,G_11.png
10827,382.092,0.578958268402327,79.7611562272552,131.637612243323,107.331671692882,982.884178442782,733.68578553616,142.763276992703,129.023644592223,92.757458206336,23.9403398947859,24.028905915733,22.7703356252474,1.22645636806991,0.931927465229548,13.4842797140482,10,927.5,665.5,111,135,garbanzo,G_11.png
12323,406.348,0.448534071872659,14.3019453044019,135.472408177966,121.080596263475,1336.28734885986,486.299926965836,150.209283453704,139.163271930536,106.034407206037,21.4148041521497,19.454297420075,18.0736275981008,1.11886142254515,0.937842823355204,13.3992288488193,11,1266.5,421.5,135,125,garbanzo,G_11.png
14047,467.716,0.661724657837981,25.556197172546,166.260593861465,124.653371841681,1673.24346835623,793.998932156332,148.407417954012,133.343133765217,98.9139318003844,23.0008718811664,22.0098681078056,20.8123963315442,1.33378336586537,0.806917236945634,15.5733079416245,12,1593.5,727.5,169,134,garbanzo,G_11.png
13745,437.906,0.419930196882559,50.4683572653281,145.920314918428,132.430916543593,1822.30578392143,940.76711531466,145.218843215715,126.836013095671,93.3036740632957,21.3391077000323,20.2918217681215,19.9732294358303,1.10185988836221,0.900726243913693,13.9513761248454,13,1754.5,876.5,135,135,garbanzo,G_11.png
12256,452.216,0.648370406461336,-40.1334241142069,144.308099675435,109.865369709784,1939.39490861619,390.244614882507,151.402415143603,128.007588120104,94.5426729765013,17.6130058592722,15.6981583046509,16.6802548004133,1.31349942258087,0.753124486119471,16.6856487154047,14,1866.5,322.5,138,130,garbanzo,G_11.png
13513,429.711,0.645200358042484,-20.8112127931035,152.607318915199,116.594038846624,1948.16354621476,1149.72367349959,138.293569155628,118.321986235477,86.7356619551543,22.411734659349,20.8249172542853,18.7987963514859,1.30887754146632,0.919620615532648,13.6647334804263,15,1872.5,1090.5,147,122,garbanzo,G_11.png
12387,426.246,0.621333871432155,-76.7256691279612,151.428506863047,118.651189831856,2112.99176556067,732.550335028659,148.325421813191,123.403568257044,89.9488173084686,18.727807200202,19.1019589224477,20.5776532949666,1.27624937497585,0.856752476843812,14.6674459123274,16,2054.5,658.5,120,144,garbanzo,G_11.png
14278,487.619,0.673333893400231,-81.6431804217682,180.756771221753,133.640446262927,2170.84038380726,1299.61276089088,149.505462949993,126.103165709483,95.093710603726,24.689985183207,23.9090538232921,22.4100774680467,1.35256036833436,0.754598613088718,16.6530528898305,17,2107.5,1217.5,124,170,garbanzo,G_11.png
15888,486.23,0.548097219629203,-89.476362868859,163.371261896179,136.646114016541,2233.87191591138,973.056080060423,150.330563947633,123.817849949648,89.6289652567976,22.5337886188199,20.8236621298382,20.5150520378973,1.19557927477106,0.844492103983724,14.8803885259315,18,2166.5,891.5,136,169,garbanzo,G_11.png
15532,483.857,0.601881630022493,-86.4643119860023,159.044386635423,127.01051141181,247.218194694824,1126.72521246459,140.677697656451,112.894926603142,77.657674478496,25.2340464890766,22.8422298905237,20.9726787010231,1.25221436294945,0.833687306476106,15.0732421097734,1,182.5,1045.5,129,162,garbanzo,G_12.png
13087,449.397,0.574825982468556,41.4121570647822,151.540602890213,124.001990007198,386.162986169481,1513.18904256132,135.275540612822,112.108733858027,78.6631007870406,26.6415034884861,27.2382605730112,25.6475297566912,1.22208202369507,0.814309738443566,15.4319296713532,2,320.5,1440.5,142,143,garbanzo,G_12.png
13677,446.602,0.564143122767478,-37.2459688368625,154.403716503701,127.487600115595,464.040505958909,824.932587555751,145.133581925861,128.070702639468,96.6927688820648,25.8605487906605,24.1336410169009,21.1639531802966,1.21112732817702,0.861706529327721,14.5831210356072,3,395.5,756.5,150,139,garbanzo,G_12.png
15778,463.552,0.633251034546,5.25835550079712,163.66052050183,126.664480938781,540.894409937888,1125.43097984535,132.643554316136,113.816326530612,80.9089238179744,27.1177705053405,24.6654765472054,20.4842158976062,1.29207903659219,0.922709298903255,13.6189920588161,4,457.5,1064.5,159,125,garbanzo,G_12.png
13706,452.421,0.520744324518219,28.4421597794817,155.917698535694,133.108917051559,698.988982927185,1466.2923537137,139.111994746826,123.321538012549,91.1808696921056,28.1739671549979,26.3517917192262,22.86902993194,1.17135427129424,0.84146310939882,14.9339531038231,5,625.5,1393.5,144,137,garbanzo,G_12.png
14442,471.048,0.716860122614023,10.5077961065866,174.355926605714,121.56391852058,733.621312837557,793.305220883534,146.138623459355,131.395097631907,97.0864146240133,26.6073643347464,26.1562101352916,23.7676909638806,1.43427366218206,0.817912558065818,15.3639536285833,6,647.5,726.5,176,127,garbanzo,G_12.png
14621,456.227,0.6125859765912,-32.4641138805946,159.790108548156,126.298734696711,872.452910197661,1133.02510088229,133.752479310581,119.641337801792,84.5155598112304,27.0777787637525,25.0338391713049,21.4554029721942,1.2651758462337,0.882724079509176,14.2358987435196,7,799.5,1058.5,148,141,garbanzo,G_12.png
14063,444.955,0.636173051758776,35.4068206919189,161.703116539418,124.7614575252,1058.9027945673,1499.18232240631,132.473867595819,112.504230960677,76.310744506862,23.61887768079,21.670266447186,19.4607432207387,1.29609832833795,0.892597483506818,14.0784293554007,8,980.5,1432.5,154,133,garbanzo,G_12.png
12945,417.479,0.624404312250654,-21.093110595728,147.588448653505,115.281530429094,1155.53101583623,1260.61946697567,136.711857860178,122.234298957126,85.6529161838548,26.7747050263957,23.492237578768,19.4234129432943,1.28024366179179,0.933345955251744,13.4637864380842,9,1088.5,1196.5,141,122,garbanzo,G_12.png
13092,426.973,0.644870909639767,15.8957897855109,152.10581605032,116.253183594272,1178.83081271005,825.156889703636,137.411014359914,121.990834097159,88.1950045829514,25.0711299339092,23.3757046057562,21.6919058360996,1.3084012957544,0.902433138604536,13.9249879872441,10,1108.5,766.5,147,118,garbanzo,G_12.png
14313,448.296,0.575123007844621,6.39421271636253,152.79156911044,124.993732102872,1331.27555369245,672.46056032977,139.527771955565,123.255991057081,89.1118563543632,23.766934785903,21.7101118866467,20.1582821340349,1.22239384759462,0.894974801460193,14.0410328803186,11,1252.5,609.5,158,126,garbanzo,G_12.png
16100,500.194,0.658062433116075,29.6351598443138,177.681441015981,133.78761632591,1782.41950310559,705.408136645963,150.51149068323,133.915900621118,100.641180124224,21.4287843610869,21.0867165202617,20.4019977390618,1.32808585649022,0.808646636038266,15.5400023376397,12,1699.5,633.5,178,146,garbanzo,G_12.png
12961,422.402,0.574718007864878,-28.4036308712197,146.898299945419,120.214447148922,1789.05732582362,413.282771391096,151.401975156238,135.227760203688,103.796929249286,18.1963775678645,16.9380307804371,17.0913023820004,1.22196876855776,0.912843742760245,13.766179276599,13,1722.5,348.5,139,125,garbanzo,G_12.png
15004,483.097,0.714235796775913,18.9838693098562,183.297856606756,128.291114819173,2020.35597174087,345.652625966409,145.704012263396,127.006264996001,98.1333644361504,18.9808986350713,18.2304623488965,17.9739236153803,1.42876501513854,0.807882570047878,15.554699507398,14,1932.5,274.5,175,135,garbanzo,G_12.png
